node_id	entity_name	attribute_text	triplets_text
0	Casual	Casual.	 [Casual]'s song is I believe. [Casual]'s release is Casual. [Casual]'s term is hip hop.
1	The Box Tops	The Box Tops.	 [The Box Tops]'s term is blue-eyed soul. [The Box Tops]'s release is Nonstop. [The Box Tops]'s song is I Can Dig It.
2	Sonora Santanera	Sonora Santanera.	 [Sonora Santanera]'s song is Cuando Quieres Tu. [Sonora Santanera]'s term is salsa. [Sonora Santanera]'s release is Las Numero 1 De La Sonora Santanera.
3	Adam Ant	Adam Ant.	 [Adam Ant]'s release is The Very Best Of. [Adam Ant]'s song is Mohair Locker Room Pin-Up Boys, Friend Or Foe.
4	Gob	Gob.	 [Gob]'s song is No Regrets. [Gob]'s release is Muertos Vivos. [Gob]'s term is pop punk.
5	Jeff And Sheri Easter	Jeff And Sheri Easter.	 [Jeff And Sheri Easter]'s release is My  Oh My!. [Jeff And Sheri Easter]'s song is Praise His Name (Low Key-Studio Track w/o Background Vocals). [Jeff And Sheri Easter]'s term is southern gospel.
6	Rated R	Rated R.	 [Rated R]'s release is Da Ghetto Psychic. [Rated R]'s song is Shoulda Did. [Rated R]'s term is breakbeat.
7	Tweeterfriendly Music	Tweeterfriendly Music.	 [Tweeterfriendly Music]'s song is Drop of Rain. [Tweeterfriendly Music]'s term is post-hardcore. [Tweeterfriendly Music]'s release is Gin & Phonic.
8	Planet P Project	Planet P Project.	 [Planet P Project]'s song is Pink World. [Planet P Project]'s release is 1931, Pink World.
9	Clp	Clp.	 [Clp]'s term is breakcore. [Clp]'s release is Strictly Confidential. [Clp]'s song is Insatiable (Instrumental Version).
10	JennyAnyKind	JennyAnyKind.	 [JennyAnyKind]'s song is Young Boy Blues. [JennyAnyKind]'s term is alternative rock. [JennyAnyKind]'s release is I Need You.
11	Wayne Watson	Wayne Watson.	 [Wayne Watson]'s term is ccm. [Wayne Watson]'s song is Cry Of My Heart. [Wayne Watson]'s release is The Very Best.
12	Andy Andy	Andy Andy.	 [Andy Andy]'s term is bachata. [Andy Andy]'s release is Placer & Castigo. [Andy Andy]'s song is Vida.
13	Bob Azzam	Bob Azzam.	 [Bob Azzam]'s song is Auguri Cha Cha. [Bob Azzam]'s release is Arrivederci. [Bob Azzam]'s term is chanson.
14	Lionel Richie	Lionel Richie.	 [Lionel Richie]'s song is In My Dreams. [Lionel Richie]'s term is quiet storm. [Lionel Richie]'s release is Just For You.
15	Blue Rodeo	Blue Rodeo.	 [Blue Rodeo]'s song is Never Look Back, Up On That Cloud. [Blue Rodeo]'s release is Lost Together.
16	Richard Souther	Richard Souther.	 [Richard Souther]'s release is Cross Currents. [Richard Souther]'s term is chill-out. [Richard Souther]'s song is Red River Falling /O rubor sanguinis.
17	Faiz Ali Faiz	Faiz Ali Faiz.	 [Faiz Ali Faiz]'s term is qawwali. [Faiz Ali Faiz]'s song is Lagian ne maujan. [Faiz Ali Faiz]'s release is Teri Bandi Haan.
18	Tesla	Tesla.	 [Tesla]'s release is Five Man Acoustical Jam, Alive In Europe!. [Tesla]'s song is So What!.
19	lextrical	lextrical.	 [lextrical]'s release is Whatever Happened To Boredom?. [lextrical]'s song is Synthetic Dream. [lextrical]'s term is indietronica.
20	Jimmy Wakely	Jimmy Wakely.	 [Jimmy Wakely]'s song is In The Valley Of The Moon. [Jimmy Wakely]'s release is Vintage Collections. [Jimmy Wakely]'s term is classic country.
21	Alice Stuart	Alice Stuart.	 [Alice Stuart]'s term is electric blues. [Alice Stuart]'s song is Woman Blue. [Alice Stuart]'s release is All The Good Times.
22	Elena	Elena.	 [Elena]'s song is Setanta matins. [Elena]'s term is uk garage. [Elena]'s release is Porelamordedios.
23	The Dillinger Escape Plan	The Dillinger Escape Plan.	 [The Dillinger Escape Plan]'s term is math-core. [The Dillinger Escape Plan]'s song is Parasitic Twins. [The Dillinger Escape Plan]'s release is Option Paralysis.
24	SUE THOMPSON	SUE THOMPSON.	 [SUE THOMPSON]'s release is Sue Thompson - Her Very Best. [SUE THOMPSON]'s term is pop rock. [SUE THOMPSON]'s song is James (Hold The Ladder Steady).
25	Five Bolt Main	Five Bolt Main.	 [Five Bolt Main]'s release is Live. [Five Bolt Main]'s song is Made Like This (Live). [Five Bolt Main]'s term is post-grunge.
26	Tim Wilson	Tim Wilson.	 [Tim Wilson]'s release is Gettin' My Mind Right. [Tim Wilson]'s song is Uncle B.S. - 1963. [Tim Wilson]'s term is filk.
27	Willie Bobo	Willie Bobo.	 [Willie Bobo]'s song is Dichoso. [Willie Bobo]'s release is Lost and Found. [Willie Bobo]'s term is latin jazz.
28	Faye Adams	Faye Adams.	 [Faye Adams]'s song is Crazy Mixed Up World. [Faye Adams]'s term is jump blues. [Faye Adams]'s release is Shake A Hand.
29	Terry Callier	Terry Callier.	 [Terry Callier]'s term is soul jazz. [Terry Callier]'s release is Essential  The Very Best Of.... [Terry Callier]'s song is Holdin' On.
30	John Wesley	John Wesley.	 [John Wesley]'s term is disco. [John Wesley]'s release is The Emperor Falls. [John Wesley]'s song is Chasing Monsters.
31	The Shangri-Las	The Shangri-Las.	 [The Shangri-Las]'s term is doo-wop. [The Shangri-Las]'s release is Best of The Shangri-Las. [The Shangri-Las]'s song is Twist and Shout.
32	Billie Jo Spears	Billie Jo Spears.	 [Billie Jo Spears]'s release is Country Greats, Misty Blue. [Billie Jo Spears]'s song is Danny.
33	Mike Jones (Featuring CJ_ Mello & Lil' Bran)	Mike Jones (Featuring CJ_ Mello & Lil' Bran).	 [Mike Jones (Featuring CJ  Mello & Lil' Bran)]'s release is Who Is Mike Jones?. [Mike Jones (Featuring CJ  Mello & Lil' Bran)]'s term is rap. [Mike Jones (Featuring CJ  Mello & Lil' Bran)]'s song is Laws Patrolling (Album Version).
34	Sierra Maestra	Sierra Maestra.	 [Sierra Maestra]'s term is charanga. [Sierra Maestra]'s release is Criolla Karabal\xc3\xad. [Sierra Maestra]'s song is No Me Llores M\xc3\xa1s.
35	Butthole Surfers	Butthole Surfers.	 [Butthole Surfers]'s song is Ulcer Breakout. [Butthole Surfers]'s release is Butthole Surfers  + PCPpep. [Butthole Surfers]'s term is noise rock.
36	Despina Vandi	Despina Vandi.	 [Despina Vandi]'s song is Ke T' Oniro Egine Efialtis. [Despina Vandi]'s release is Greatest Hits 2001-2009: Deluxe Edition, Kalanta.
37	Javier Navarrete	Javier Navarrete.	 [Javier Navarrete]'s release is Cracks. [Javier Navarrete]'s song is Midnight Swim. [Javier Navarrete]'s term is orchestra.
38	Jacob Young	Jacob Young.	 [Jacob Young]'s release is This Is You. [Jacob Young]'s song is Print. [Jacob Young]'s term is cool jazz.
39	Scarlet's Remains	Scarlet's Remains.	 [Scarlet's Remains]'s song is 1492. [Scarlet's Remains]'s release is The Palest Grey. [Scarlet's Remains]'s term is gothic metal.
40	The Suicide Machines	The Suicide Machines.	 [The Suicide Machines]'s song is Your Silence. [The Suicide Machines]'s release is A Match & Some Gasoline. [The Suicide Machines]'s term is ska punk.
41	The Rolling Stones	The Rolling Stones.	 [The Rolling Stones]'s song is Think. [The Rolling Stones]'s release is Jump Back - The Best Of The Rolling Stones  '71-'93, Live Licks.
42	Roberto Torres	Roberto Torres.	 [Roberto Torres]'s release is Lo Mejor con La Orq. Broadway. [Roberto Torres]'s song is Decima Del Tiempo De Antes. [Roberto Torres]'s term is salsa.
43	Loudon Wainwright III	Loudon Wainwright III.	 [Loudon Wainwright III]'s song is Rowena. [Loudon Wainwright III]'s term is modern rock. [Loudon Wainwright III]'s release is Grown Man.
44	R.L. Burnside	R.L. Burnside.	 [R.L. Burnside]'s song is Rollin' and Tumblin'. [R.L. Burnside]'s term is delta blues. [R.L. Burnside]'s release is Mr. Wizard.
45	Stevie Ray Vaughan	Stevie Ray Vaughan.	 [Stevie Ray Vaughan]'s term is texas blues. [Stevie Ray Vaughan]'s release is Greatest Hits. [Stevie Ray Vaughan]'s song is Crossfire.
46	John Hammond	John Hammond.	 [John Hammond]'s release is The Best Of. [John Hammond]'s song is Southbound Blues. [John Hammond]'s term is blues.
47	Casiotone For The Painfully Alone	Casiotone For The Painfully Alone.	 [Casiotone For The Painfully Alone]'s release is Vs. Children. [Casiotone For The Painfully Alone]'s song is Attic Room. [Casiotone For The Painfully Alone]'s term is trip hop.
48	Ec8or	Ec8or.	 [Ec8or]'s release is Ec8or. [Ec8or]'s song is I'm A Tomorrow. [Ec8or]'s term is hardcore techno.
49	The New York Dolls	The New York Dolls.	 [The New York Dolls]'s release is Morrissey Presents The Return Of The New York Dolls - Live From Royal Festival Hall 2004, Too Much Too Soon. [The New York Dolls]'s song is Human Being.
50	Eliane Elias	Eliane Elias.	 [Eliane Elias]'s song is All The Things You Are, No More Blues (Chega de Saudade). [Eliane Elias]'s release is Fantasia.
51	Lost Boyz	Lost Boyz.	 [Lost Boyz]'s term is gangster rap. [Lost Boyz]'s song is What's Wrong. [Lost Boyz]'s release is Love  Peace & Nappiness.
