node_id	id	name	score	valid	description
0	A00000	Casual	0.581793766	1	Casual.
1	A00001	The Box Tops	0.630630038	1	The Box Tops.
2	A00002	Sonora Santanera	0.487356791	1	Sonora Santanera.
3	A00003	Adam Ant	0.630382334	1	Adam Ant.
4	A00004	Gob	0.651045661	1	Gob.
5	A00005	Jeff And Sheri Easter	0.535292736	1	Jeff And Sheri Easter.
6	A00006	Rated R	0.556495602	1	Rated R.
7	A00007	Tweeterfriendly Music	0.801136447	1	Tweeterfriendly Music.
8	A00008	Planet P Project	0.426667857	1	Planet P Project.
9	A00009	Clp	0.550513698	1	Clp.
10	A00010	JennyAnyKind	0.360031167	1	JennyAnyKind.
11	A00011	Wayne Watson	0.545159296	1	Wayne Watson.
12	A00012	Andy Andy	0.577508974	1	Andy Andy.
13	A00013	Bob Azzam	0.085512047	1	Bob Azzam.
14	A00014	Lionel Richie	0.776675856	1	Lionel Richie.
15	A00015	Blue Rodeo	0.636423645	1	Blue Rodeo.
16	A00016	Richard Souther	0.419943148	1	Richard Souther.
17	A00017	Faiz Ali Faiz	0.363280571	1	Faiz Ali Faiz.
18	A00018	Tesla	0.707199764	1	Tesla.
19	A00019	lextrical	0.32031437	1	lextrical.
20	A00020	Jimmy Wakely	0.39413854	1	Jimmy Wakely.
21	A00021	Alice Stuart	0.489816269	1	Alice Stuart.
22	A00022	Elena	0.677420465	1	Elena.
23	A00023	The Dillinger Escape Plan	0.839962768	1	The Dillinger Escape Plan.
24	A00024	SUE THOMPSON	0.435415818	1	SUE THOMPSON.
25	A00025	Five Bolt Main	0.6090637	1	Five Bolt Main.
26	A00027	Tim Wilson	0.459797129	1	Tim Wilson.
27	A00028	Willie Bobo	0.588827101	1	Willie Bobo.
28	A00029	Faye Adams	0.396455254	1	Faye Adams.
29	A00030	Terry Callier	0.706827671	1	Terry Callier.
30	A00031	John Wesley	0.560557984	1	John Wesley.
31	A00032	The Shangri-Las	0.640807102	1	The Shangri-Las.
32	A00033	Billie Jo Spears	0.523714637	1	Billie Jo Spears.
33	A00034	Mike Jones (Featuring CJ_ Mello & Lil' Bran)	0.79360508	1	Mike Jones (Featuring CJ_ Mello & Lil' Bran).
34	A00035	Sierra Maestra	0.501544777	1	Sierra Maestra.
35	A00036	Butthole Surfers	0.809323793	1	Butthole Surfers.
36	A00037	Despina Vandi	0.632559542	1	Despina Vandi.
37	A00038	Javier Navarrete	0.597541218	1	Javier Navarrete.
38	A00039	Jacob Young	0.495445922	1	Jacob Young.
39	A00040	Scarlet's Remains	0.527865076	1	Scarlet's Remains.
40	A00041	The Suicide Machines	0.668674533	1	The Suicide Machines.
41	A00042	The Rolling Stones	0.814829656	1	The Rolling Stones.
42	A00043	Roberto Torres	0.482356043	1	Roberto Torres.
43	A00044	Loudon Wainwright III	0.661080168	1	Loudon Wainwright III.
